id;nome;codigo;situacao;cat_administrativa;dep_administrativa;cep;bairro_id;endereco;zona;lat;long;Telefone;email;extensao;porte
116;EMEI JANDIRA BORGES DA CUNHA;29402210;Ativa;Publica;Municipal;48906-005;;RUA DAS ALGAROBAS, S/N PREDIO. TABULEIRO.;Urbana;;;(74) 991896668;;NÃO;Entre 51 e 200 matrículas de escolarização
117;EMEI LENI LOPES DE ARAUJO SANTOS;29461367;Ativa;Publica;Municipal;48916-541;;AVENIDA BRILHO DO SOL, S/N PIRANGA I.;Urbana;;;(74) 988299594;;NÃO;Entre 201 e 500 matrículas de escolarização
118;EMEI LUANA DA SILVA NASCIMENTO;29467152;Ativa;Publica;Municipal;48906-826;;TRAVESSA PROJETADA 11, S/N ITABERABA.;Urbana;-9.44536317;-40.48470537;(74) 999555400;;NÃO;Entre 201 e 500 matrículas de escolarização
119;EMEI LUZINETE DE OLIVEIRA;29461219;Ativa;Publica;Municipal;48916-231;;RUA DA SAUDADE, S/N PREDIO. PADRE VICENTE.;Urbana;-9.443105129;-40.51015092;(74) 988549181;;NÃO;Entre 501 e 1000 matrículas de escolarização
120;EMEI MANOEL ALVES MOTA;29461227;Ativa;Publica;Municipal;48923-000;;AVENIDA JORGE KHOURY, S/N MANICOBA. VILA SANTA INES.;Rural;-9.32907287;-40.2994402;(74) 36123354;;NÃO;Entre 51 e 200 matrículas de escolarização
121;EMEI MARIA FERREIRA DE SOUZA;29469635;Ativa;Publica;Municipal;48922-600;;RUA DO MERCADO, S/N PREDIO.;Rural;;;(74) 36141990;;NÃO;Até 50 matrículas de escolarização
122;EMEI MARIA HELENA DA SILVA PEREIRA;29461243;Ativa;Publica;Municipal;48914-156;;QUADRA B, S/N PROXIMO A UBS. PARQUE RESIDENCIAL.;Urbana;-9.47322997;-40.49195638;(74) 988078308;;NÃO;Entre 201 e 500 matrículas de escolarização
123;EMEI MARIA HOZANA NUNES;29461235;Ativa;Publica;Municipal;48900-100;;RUA AMERICO TANURI, S/N JARDIM FLORIDA.;Urbana;-9.42791443;-40.51182754;(74) 991177093;;NÃO;Entre 201 e 500 matrículas de escolarização
124;EMEI MARIA JULIA RODRIGUES TANURI;29461170;Ativa;Publica;Municipal;48905-531;;AVENIDA DAS NACOES, 557 DOM TOMAZ.;Urbana;-9.44042271;-40.48888679;(74) 988067767;;NÃO;Entre 201 e 500 matrículas de escolarização
125;EMEI MARIA VIANA TANURI;29402160;Ativa;Publica;Municipal;48902-690;;AVENIDA GASPAR DE LEMOS, S/N NOSSA SENHORA DA PENHA.;Urbana;-9.419069924;-40.51381853;;;NÃO;Entre 201 e 500 matrículas de escolarização
126;EMEI MARIA VIANA TANURI – EXT;11111113;Ativa;Publica;Municipal;48902-691;;;Urbana;;;;;SIM;
127;EMEI NAILDE COSTA;29402150;Ativa;Publica;Municipal;48904-425;;TRAVESSA ALECRIM DOURADO, S/N QD-C. JARDIM NOVO ENCONTRO.;Urbana;-9.421177719;-40.49483294;(74) 36123354;;NÃO;Entre 201 e 500 matrículas de escolarização
128;EMEI NELIA DE SOUZA COSTA;29461197;Ativa;Publica;Municipal;48914-156;;QUADRA 2 RUA G, S/N JOAO PAULO II.;Urbana;-9.477215;-40.49862;;;NÃO;Entre 201 e 500 matrículas de escolarização
129;EMEI NOSSA SENHORA DAS GROTAS;29025788;Ativa;Publica;Municipal;48922-000;;POVOADO DE CARNEIROS, S/N ZONA RURAL. CARNAIBA.;Rural;-9.562585;-40.37110167;(74) 988590531;;NÃO;Até 50 matrículas de escolarização
130;EMEI NOSSO SENHOR DOS AFLITOS;29445256;Ativa;Publica;Municipal;48900-040;;RUA SANTA CLARA, 800 CASA. PIRANGA.;Urbana;-9.43586217;-40.50463318;(74) 36123354;;NÃO;Entre 201 e 500 matrículas de escolarização
131;EMEI PASSAGEM DO SARGENTO;29026792;Ativa;Publica;Municipal;48922-200;;POVOADO PASSAGEM DO SARGENTO, S/N SALITRE.;Rural;-9.885848333;-40.64337667;(74) 36123354;;NÃO;Até 50 matrículas de escolarização
132;EMEI PASTOR MANOEL MARQUES DE SOUZA;29469252;Ativa;Publica;Municipal;48900-020;;RUA DO RISO, S/N PIRANGA.;Urbana;-9.43531037;-40.50574418;(74) 988136212;;NÃO;Entre 51 e 200 matrículas de escolarização
133;EMEI PREFEITO APRIGIO DUARTE;29470811;Ativa;Publica;Municipal;48907-201;;RUA B, S/N RESIDENCIAL JUAZEIRO. ITABERABA.;Urbana;-9.44988;-40.47496167;(74) 988320498;;NÃO;Entre 51 e 200 matrículas de escolarização
134;EMEI PROFª ADELAIDE MOREIRA BISPO;29461251;Ativa;Publica;Municipal;48908-536;;RUA DA PAZ, JARDIM PRIMAVERA.;Urbana;-9.45505827;-40.41689956;(74) 988186050;;NÃO;Entre 51 e 200 matrículas de escolarização
135;EMEI PROFª HELOISA HELENA BENEVIDES FARIAS;29402110;Ativa;Publica;Municipal;48901-665;;RUA AURENILDES GONCALVES DA CUNHA, S/N PALMARES.;Urbana;-9.427825673;-40.52718898;;;NÃO;Entre 201 e 500 matrículas de escolarização
136;EMEI PROFª JOANA RAMOS;29026261;Ativa;Publica;Municipal;48923-000;;POVOADO PERIQUITO, S/N ITAMOTINGA.;Rural;-9.09831657;-40.01104478;(74) 36189018;;NÃO;Até 50 matrículas de escolarização
137;EMEI PROFª MARIA SUELY MEDRADO ARAUJO;29025338;Ativa;Publica;Municipal;48906-130;;RUA 9, 30 ESCOLA. TABULEIRO.;Urbana;;;(74) 991896668;;NÃO;Entre 51 e 200 matrículas de escolarização
138;EMEI PROFª VANDA GUERRA;29476615;Ativa;Publica;Municipal;48917-137;;RUA RUA DAS ALGAROBAS, S/N ANTONIO CONSELHEIRO.;Urbana;-9.44851533;-40.52127523;(74) 988110737;;NÃO;Entre 201 e 500 matrículas de escolarização
